season,week,pass_rate,epa_mean
2019,1,0.47366573033707865,0.027651799132155132
2019,2,0.4732554020545519,-0.04210183644000527
2019,3,0.4731068648266101,-0.004704538474474763
2019,4,0.4806754221388368,-0.03237223824699867
2019,5,0.45502053004852555,-0.012397323250762395
2019,6,0.4651911468812877,-0.024595741709079584
2019,7,0.44963144963144963,-0.01729310986797823
2019,8,0.4612447499045437,-0.027165852818509705
2019,9,0.45816409423233145,0.014227223607595334
2019,10,0.48115577889447236,-0.05281421999524601
2019,11,0.4968127490039841,-0.05452020214163992
2019,12,0.4511400651465798,-0.05000098928127739
2019,13,0.47273371104815864,-0.029491541504862145
2019,14,0.46280701754385967,0.005589176575410083
2019,15,0.4560459275206315,0.007252592275860146
2019,16,0.4723389355742297,-0.014512296565672345
2019,17,0.46151117417523946,-0.009896261850223777
2019,18,0.4273743016759777,-0.03775647802804298
2019,19,0.4672364672364672,0.036179442439213116
2019,20,0.4229607250755287,0.15692505071725024
2019,21,0.5058139534883721,0.12525906669583878
2020,1,0.4595536959553696,0.013821237303593362
2020,2,0.46354883081155435,0.06193346946529364
2020,3,0.47104247104247104,0.0166487833362956
2020,4,0.4651424287856072,0.05775141014406691
2020,5,0.4738314023172193,0.027998327810062118
2020,6,0.45569620253164556,-0.004994400633846045
2020,7,0.4726530612244898,0.022557886526910063
2020,8,0.4475580464371497,0.011241169597921697
2020,9,0.4726831242411979,0.047392953505726976
2020,10,0.4488475535786494,-0.005887678257212037
2020,11,0.46883795737836753,-0.0127950415616613
2020,12,0.45548066690315714,-0.04611850679423771
2020,13,0.4741852801171732,-4.225685148007885e-05
2020,14,0.46216987865810133,-0.012042156005713523
2020,15,0.4573560767590618,0.05641997024136131
2020,16,0.4721242060691602,0.02676562815072671
2020,17,0.46621135873472325,0.031037105600952523
2020,18,0.46296296296296297,0.023063550160832724
2020,19,0.4647058823529412,-0.03165400194681375
2020,20,0.5378151260504201,0.14645065506460392
2020,21,0.521978021978022,0.045831320686730403
2021,1,0.48262682418346076,0.004257158764835393
2021,2,0.45877224845622955,0.012958881424167751
2021,3,0.48203486303806475,-0.010856342126867126
2021,4,0.4587284861257464,0.022337318484285416
2021,5,0.4664794664794665,0.03170061630973646
2021,6,0.47892412685668406,0.005672916959248077
2021,7,0.4850111856823266,-0.021518012728921725
2021,8,0.4741801733886167,-0.007611993320411099
2021,9,0.4644453474197481,-0.012770544564451591
2021,10,0.45766871165644174,-0.0390550595949652
2021,11,0.4513888888888889,-0.01733843054251399
2021,12,0.444104134762634,-0.03481284162123703
2021,13,0.4591375770020534,-0.03442204536891406
2021,14,0.48203125,-0.02146691553344314
2021,15,0.4432023079697079,-0.050114649300608424
2021,16,0.4593108504398827,-0.0005626516645160853
2021,17,0.4452608376193975,0.001837904615213267
2021,18,0.44903777619387025,0.0014827496236469845
2021,19,0.4775977121067683,0.025888455274393807
2021,20,0.46924177396280403,-0.01898137133839356
2021,21,0.49142857142857144,0.008000916103561344
2021,22,0.5202312138728323,-0.07408682863083424
2022,1,0.47577247191011235,-0.01940433715915216
2022,2,0.46923917000364035,-0.0037336633361928365
2022,3,0.48022800142500893,-0.021599931736152038
2022,4,0.43935599284436494,-0.0017439423608679966
2022,5,0.4568165596002855,0.0011764857106487093
2022,6,0.4656364375762505,-0.024176012247349856
2022,7,0.4577405857740586,-0.0016775030758671952
2022,8,0.4480092771550058,0.016305510569453147
2022,9,0.45218945487042,-0.030076932779431728
2022,10,0.43870967741935485,0.00388144496669991
2022,11,0.43375980189847296,-0.019188560394940133
2022,12,0.44822644213543533,0.015414437326928184
2022,13,0.4542347132548424,-0.016381356346868825
2022,14,0.47977132805628847,-0.010316506265086196
2022,15,0.4328776726253067,-0.03437054274566953
2022,16,0.4478862973760933,-0.059663508455849834
2022,17,0.44154325798908806,-0.03088721461478283
2022,18,0.43713235294117647,-0.05316405677513244
2022,19,0.509208103130755,0.0460318343444538
2022,20,0.4530791788856305,0.07576196012538709
2022,21,0.4624624624624625,-0.03351352095869107
2022,22,0.42045454545454547,0.13103209490872247
2023,1,0.46626420454545453,-0.09151362249371406
2023,2,0.46905766526019693,0.019028378751524206
2023,3,0.46703678001387927,-0.01856608334884636
2023,4,0.45677655677655676,-0.022514327393635934
2023,5,0.46255144032921813,-0.017422871623976068
2023,6,0.47909474491752974,-0.0642654281397627
2023,7,0.4698046181172291,-0.00981856887402766
2023,8,0.46683133380381087,-0.03678891630862345
2023,9,0.4706362153344209,-0.049982086229329266
2023,10,0.46026623638563935,0.006676295913048758
2023,11,0.4705394190871369,-0.028636322455712522
2023,12,0.4706095791001451,-0.04384894071029946
2023,13,0.43666809789609273,0.006342853741172254
2023,14,0.4710960960960961,-0.07634725074504593
2023,15,0.44594594594594594,-0.04694711730057843
2023,16,0.4750351617440225,-0.004862362178934616
2023,17,0.4390787518573551,-0.008759523893609159
2023,18,0.43143939393939396,-0.04481137861988964
2023,19,0.48830409356725146,0.03927384218692879
2023,20,0.47337278106508873,0.052574962980894625
2023,21,0.49299719887955185,0.047623971627509844
2023,22,0.4782608695652174,0.06194144831093017
2024,1,0.4405109489051095,-0.013525524947424239
2024,2,0.43439911797133407,-0.0032673363109427976
2024,3,0.4685212298682284,-0.014598646658751416
2024,4,0.4457787481804949,0.00736641491856854
2024,5,0.4662965900079302,0.010433902069394999
2024,6,0.45918367346938777,0.02197899247924566
2024,7,0.4325798908807482,-0.025749247919138393
2024,8,0.44511545293072824,0.03641715150631998
2024,9,0.4507732930969445,0.003708808952009084
